,POID,24002,61501,7401,9502,97801,STATE,COUNTY
0,4001,2.3586784,3.7194544,1.587572,1.360776,1.2700576,3,23
1,5001,3.628736,,1.360776,0.907184,,3,23
2,6001,,4.53592,,,2.721552,3,27
3,7001,2.3586784,,1.587572,2.721552,,4,50
