STATE,COUNTY,POID,AICODE1,AICODE2,AIAMT1_kg_sum,AIAMT2_kg_sum
3,23,4001,9502,804208,1.360776,0.1814368
3,23,5001,9502,804208,0.907184,0.0907184
4,50,7001,9502,804208,2.721552,0.3628736
