STATE,COUNTY,POID,eco_mid_sum,eco_end_sum,hhc_mid_sum,hhc_end_sum,hhnc_mid_sum,hhnc_end_sum
3,23,4001,,,,,,
3,23,5001,0.00410603020196,0.00205301510098,5.15375982881e-13,5.92682380313e-12,0.000482460526398,0.00130264342128
4,50,7001,8090400.68208,4045200.34104,2.37188438636,27.2766704431,0.736848745937,1.98949161403
