STATE,COUNTY,POID,eco_mid_sum,eco_end_sum,hhc_mid_sum,hhc_end_sum,hhnc_mid_sum,hhnc_end_sum
3,23,4001,,,,,,
3,23,5001,0.0011899302643,0.0011899302643,1.0,1.0,,
4,50,7001,0.998810069736,0.998810069736,0.0,0.0,,
