STATE,COUNTY,POID,eco_mid_sum,eco_end_sum,hhc_mid_sum,hhc_end_sum,hhnc_mid_sum,hhnc_end_sum
3,23,4001,,,,,,
3,23,5001,5.07518769617e-10,5.07518769617e-10,2.17285457017e-13,2.17285457017e-13,0.000654333523617,0.000654333523617
4,50,7001,0.999999999492,0.999999999492,1.0,1.0,0.999345666476,0.999345666476
