STATE,COUNTY,POID,eco_mid_sum,eco_end_sum,hhc_mid_sum,hhc_end_sum,hhnc_mid_sum,hhnc_end_sum
3,23,4001,,,,,,
3,23,5001,0.00410603020196,0.00205301510098,5.15375982881e-13,5.92682380313e-12,4.60841266427e-10,1.24427141935e-09
4,50,7001,40.9057686798,20.4528843399,1.48532925942e-07,1.70812864833e-06,7.03830242398e-07,1.90034165448e-06
